警察署,番号,事故内容,死者数,負傷者数,路線コード,市区町コード,市区町,発生年月日,発生時間,昼夜間_夜,曜日,天候,路面状態,道路形状,信号機,道路線形,事故類型,年齢(当事者1),年齢(当事者2),当事者種別(当事者1),当事者種別(当事者2),中央分離施設,緯度（北緯）,経度（東経）
長田,32,負傷,0,1,一般市道,106,神戸市長田区,20161117,16,昼間_暮,木,曇,乾燥,交差点付近(その他),施設なし,直線(平坦),車両単独,75歳以上,不明・単独事故,軽車両(駆動補助機付自転車),相手なし,中央分離帯,34.66840722,135.1589219
長田,18,負傷,0,1,一般市道,106,神戸市長田区,20161118,17,夜間_暮,金,晴,乾燥,単路(その他),施設なし,直線(平坦),車両単独,65～74歳以下,不明・単独事故,軽車両(自転車),物件等,中央分離なし,34.65538167,135.1547692
灘,72,負傷,0,1,４３号,102,神戸市灘区,20161119,17,夜間_暮,土,晴,乾燥,交差点付近(その他),点灯(３灯式),直線(平坦),車両単独,35～44歳以下,不明・単独事故,貨物車(普通車),相手なし,中央分離帯,34.70576,135.2323689
神戸北,98,負傷,0,1,鈴蘭台停車場線,109,神戸市北区,20161119,16,昼間_暮,土,曇,乾燥,交差点(その他),施設なし,直線(平坦),車両相互,25～34歳以下,25～34歳以下,乗用車(軽自動車),乗用車(普通車),中央線(ペイント),34.7308975,135.1528806
須磨,39,負傷,0,1,神戸加古川姫路線,107,神戸市須磨区,20161123,15,昼間_昼,水,曇,乾燥,交差点付近(その他),点灯(３灯式),直線(上り),車両相互,45～54歳以下,45～54歳以下,貨物車(大型車),乗用車(普通車),中央分離帯,34.655505,135.1124356
東灘,16,負傷,0,1,一般市道,101,神戸市東灘区,20161125,8,昼間_昼,金,晴,乾燥,単路(その他),施設なし,直線(平坦),車両相互,25～34歳以下,65～74歳以下,貨物車(中型車),貨物車(軽自動車),中央分離帯,34.69068833,135.2605947
垂水,157,負傷,0,1,一般市道,108,神戸市垂水区,20161126,8,昼間_昼,土,晴,乾燥,単路(その他),施設なし,直線(平坦),車両相互,55～64歳以下,25～34歳以下,乗用車(普通車),二輪車(原付二種),中央線(ペイント),34.62990028,135.0514375
東灘,123,負傷,0,1,神戸港港湾幹線,101,神戸市東灘区,20161208,16,昼間_暮,木,晴,乾燥,単路(橋),施設なし,直線(平坦),車両相互,不明・単独事故,0～24歳以下,対象外当事者,二輪車(401cc以上),中央分離なし,34.69610889,135.2682619
灘,135,負傷,0,1,一般市道,102,神戸市灘区,20161209,2,夜間_夜,金,晴,乾燥,交差点(その他),施設なし,直線(平坦),人対車両,45～54歳以下,45～54歳以下,貨物車(大型車),歩行者,中央線(ペイント),34.71387,135.2352619
神戸西,126,負傷,0,1,１７５号,111,神戸市西区,20161209,16,昼間_暮,金,晴,乾燥,交差点付近(その他),施設なし,直線(平坦),車両相互,45～54歳以下,75歳以上,特殊車(小型・その他),乗用車(普通車),中央線(ペイント),34.66780556,134.98004
垂水,110,負傷,0,2,神戸明石線,108,神戸市垂水区,20161210,8,昼間_昼,土,晴,乾燥,交差点付近(その他),施設なし,直線(平坦),車両相互,0～24歳以下,55～64歳以下,乗用車(普通車),乗用車(普通車),中央線(ペイント),34.64969528,135.0873381
神戸北,6,負傷,0,1,一般市道,109,神戸市北区,20161211,18,夜間_夜,日,晴,乾燥,交差点付近(その他),施設なし,直線(平坦),車両相互,55～64歳以下,45～54歳以下,乗用車(普通車),乗用車(普通車),中央分離なし,34.72520917,135.1359989
東灘,9,負傷,0,2,一般市道,101,神戸市東灘区,20161212,13,昼間_昼,月,晴,乾燥,交差点(その他),施設なし,カーブ・屈折(右・平坦),車両相互,75歳以上,45～54歳以下,乗用車(軽自動車),乗用車(普通車),中央線(ペイント),34.72878972,135.2919844
神戸西,312,負傷,0,1,一般交通の場所,111,神戸市西区,20161213,18,夜間_夜,火,雨,湿潤,一般交通の場所,施設なし,一般交通の場所,車両相互,0～24歳以下,45～54歳以下,二輪車(原付自転車),乗用車(普通車),一般交通の場所,34.66529306,135.0286239
垂水,96,負傷,0,1,一般交通の場所,108,神戸市垂水区,20161215,10,昼間_昼,木,晴,湿潤,一般交通の場所,施設なし,一般交通の場所,車両単独,55～64歳以下,不明・単独事故,二輪車(原付自転車),相手なし,一般交通の場所,34.64758806,135.0504539
高速隊,11,負傷,0,2,阪神高速神戸西宮,110,神戸市中央区,20161217,8,昼間_昼,土,晴,乾燥,単路(その他),施設なし,直線(平坦),車両相互,35～44歳以下,25～34歳以下,貨物車(中型車),乗用車(軽自動車),中央分離帯,34.70155611,135.2168408
灘,12,負傷,0,1,山手幹線（神戸市）,102,神戸市灘区,20161217,8,昼間_昼,土,晴,乾燥,交差点付近(その他),点灯(３灯式),直線(平坦),車両単独,45～54歳以下,不明・単独事故,二輪車(原付二種),相手なし,中央分離帯,34.71620083,135.2349061
垂水,43,負傷,0,1,一般市道,108,神戸市垂水区,20161218,17,夜間_夜,日,晴,乾燥,交差点(その他),施設なし,直線(上り),車両相互,65～74歳以下,0～24歳以下,乗用車(軽自動車),二輪車(原付自転車),中央線(ペイント),34.65942444,135.051215
灘,10,負傷,0,1,２号,102,神戸市灘区,20161219,17,夜間_暮,月,晴,乾燥,単路(その他),施設なし,直線(平坦),車両相互,55～64歳以下,35～44歳以下,乗用車(軽自動車),軽車両(自転車),中央分離帯,34.7025,135.2182381
兵庫,4,負傷,0,3,山麓線,105,神戸市兵庫区,20161219,14,昼間_昼,月,晴,乾燥,交差点(その他),施設なし,直線(下り),車両相互,65～74歳以下,25～34歳以下,乗用車(普通車),貨物車(中型車),中央分離なし,34.68282194,135.1523528
神戸北,10,負傷,0,1,神戸三田線,109,神戸市北区,20161220,22,夜間_夜,火,曇,乾燥,交差点付近(その他),施設なし,カーブ・屈折(左・平坦),車両相互,0～24歳以下,45～54歳以下,乗用車(軽自動車),乗用車(普通車),中央線(ペイント),34.76986778,135.1884647
高速隊,29,負傷,0,1,阪神高速神戸西宮,105,神戸市兵庫区,20161221,13,昼間_昼,水,晴,乾燥,単路(その他),施設なし,直線(平坦),車両相互,35～44歳以下,45～54歳以下,貨物車(大型車),乗用車(普通車),中央分離帯,34.66797111,135.1682547
東灘,34,負傷,0,1,一般市道,101,神戸市東灘区,20161222,11,昼間_昼,木,曇,乾燥,交差点付近(その他),点灯(３灯式),直線(平坦),車両相互,45～54歳以下,65～74歳以下,乗用車(普通車),乗用車(普通車),中央分離帯,34.71504139,135.2545447
須磨,6,負傷,0,1,一般市道,107,神戸市須磨区,20161222,6,夜間_夜間_明,木,曇,乾燥,単路(その他),施設なし,直線(平坦),車両相互,45～54歳以下,25～34歳以下,乗用車(普通車),二輪車(原付自転車),中央線(ペイント),34.67965278,135.1081892
神戸北,39,負傷,0,1,明石神戸宝塚線,109,神戸市北区,20161222,17,夜間_暮,木,雨,湿潤,交差点(その他),点灯(３灯式),直線(平坦),人対車両,25～34歳以下,25～34歳以下,乗用車(普通車),歩行者,中央分離なし,34.72386167,135.1358789
東灘,71,負傷,0,1,４３号,101,神戸市東灘区,20161223,21,夜間_夜,金,晴,乾燥,交差点付近(その他),点灯(歩車分離式),直線(平坦),車両相互,25～34歳以下,0～24歳以下,乗用車(軽自動車),貨物車(軽自動車),中央分離帯,34.71129306,135.2654739
生田,1,負傷,0,1,一般市道,110,神戸市中央区,20161223,17,夜間_暮,金,晴,乾燥,交差点付近(その他),点灯(３灯式),直線(平坦),車両相互,55～64歳以下,65～74歳以下,乗用車(普通車),乗用車(普通車),中央分離なし,34.6903825,135.1937169
生田,103,負傷,0,1,一般交通の場所,110,神戸市中央区,20161223,18,夜間_夜,金,晴,乾燥,一般交通の場所,施設なし,一般交通の場所,車両相互,0～24歳以下,35～44歳以下,乗用車(普通車),乗用車(普通車),一般交通の場所,34.68145722,135.1827217
灘,4,負傷,0,1,山手幹線（神戸市）,102,神戸市灘区,20161224,9,昼間_昼,土,晴,乾燥,単路(その他),点灯(３灯式),直線(平坦),車両相互,35～44歳以下,25～34歳以下,乗用車(普通車),乗用車(普通車),中央分離帯,34.70677194,135.2153364
生田,14,負傷,0,1,一般交通の場所,110,神戸市中央区,20161224,17,夜間_暮,土,晴,乾燥,一般交通の場所,施設なし,一般交通の場所,車両相互,35～44歳以下,25～34歳以下,乗用車(普通車),乗用車(普通車),一般交通の場所,34.67953667,135.1823531
須磨,37,負傷,0,2,神戸明石線,107,神戸市須磨区,20161224,13,昼間_昼,土,曇,乾燥,単路(カーブ・屈折),施設なし,カーブ・屈折(右・平坦),車両相互,25～34歳以下,45～54歳以下,乗用車(普通車),貨物車(大型車),中央分離なし,34.65262639,135.1214239
生田,3,負傷,0,1,一般市道,110,神戸市中央区,20161225,22,夜間_夜,日,晴,乾燥,単路(その他),施設なし,直線(平坦),車両相互,65～74歳以下,0～24歳以下,乗用車(普通車),乗用車(普通車),中央線(ペイント),34.68046806,135.1834258
生田,8,負傷,0,2,一般交通の場所,110,神戸市中央区,20161225,20,夜間_夜,日,晴,乾燥,一般交通の場所,施設なし,一般交通の場所,車両相互,0～24歳以下,45～54歳以下,乗用車(普通車),乗用車(普通車),一般交通の場所,34.68014861,135.1825022
神戸北,45,負傷,0,1,一般市道,109,神戸市北区,20161225,10,昼間_昼,日,晴,乾燥,単路(カーブ・屈折),施設なし,カーブ・屈折(右・上り),車両単独,55～64歳以下,不明・単独事故,乗用車(大型車),物件等,中央線(ペイント),34.75815194,135.1542481
高速隊,128,負傷,0,2,第二神明,108,神戸市垂水区,20161226,23,夜間_夜,月,雨,湿潤,単路(その他),施設なし,直線(上り),車両相互,25～34歳以下,55～64歳以下,貨物車(普通車),乗用車(普通車),中央分離帯,34.64675389,135.0588589
高速隊,129,負傷,0,2,第二神明,108,神戸市垂水区,20161226,23,夜間_夜,月,雨,湿潤,単路(その他),施設なし,直線(平坦),車両相互,35～44歳以下,55～64歳以下,貨物車(軽自動車),乗用車(普通車),中央分離帯,34.64675306,135.0588239
東灘,51,負傷,0,1,一般市道,101,神戸市東灘区,20161226,11,昼間_昼,月,雨,湿潤,交差点(その他),施設なし,直線(平坦),車両相互,25～34歳以下,25～34歳以下,二輪車(原付自転車),乗用車(軽自動車),中央分離なし,34.71244333,135.2455069
神戸西,9,負傷,0,1,小部明石線,111,神戸市西区,20161226,10,昼間_昼,月,雨,湿潤,交差点付近(その他),施設なし,カーブ・屈折(右・平坦),車両相互,75歳以上,35～44歳以下,貨物車(軽自動車),乗用車(軽自動車),中央線(ペイント),34.68175083,134.9942022
神戸西,73,負傷,0,1,一般交通の場所,111,神戸市西区,20161226,7,昼間_明,月,雨,湿潤,一般交通の場所,施設なし,一般交通の場所,人対車両,35～44歳以下,35～44歳以下,二輪車(原付自転車),歩行者,一般交通の場所,34.71177944,134.9826692
神戸西,74,負傷,0,1,一般交通の場所,111,神戸市西区,20161226,7,昼間_明,月,雨,湿潤,一般交通の場所,施設なし,一般交通の場所,人対車両,35～44歳以下,35～44歳以下,二輪車(原付自転車),歩行者,一般交通の場所,34.71177806,134.9826011
高速隊,3,負傷,0,9,阪神高速神戸西宮,110,神戸市中央区,20161227,10,昼間_昼,火,晴,乾燥,単路(橋),施設なし,直線(平坦),車両相互,0～24歳以下,45～54歳以下,乗用車(普通車),乗用車(普通車),中央分離帯,34.67935083,135.1798739
生田,4,負傷,0,1,新神戸停車場線,110,神戸市中央区,20161227,17,夜間_暮,火,雨,湿潤,単路(その他),点灯(３灯式),直線(平坦),車両相互,45～54歳以下,35～44歳以下,貨物車(普通車),乗用車(普通車),中央分離帯,34.69238111,135.1948558
兵庫,25,負傷,0,2,高松線,105,神戸市兵庫区,20161227,10,昼間_昼,火,雨,湿潤,交差点付近(その他),点灯(３灯式),直線(平坦),車両相互,35～44歳以下,65～74歳以下,貨物車(大型車),乗用車(普通車),中央分離帯,34.65552222,135.17238
神戸西,26,負傷,0,1,一般市道,111,神戸市西区,20161227,17,夜間_暮,火,雨,湿潤,交差点付近(その他),点灯(３灯式),直線(平坦),車両相互,0～24歳以下,45～54歳以下,乗用車(普通車),乗用車(普通車),中央線(ペイント),34.66960861,134.9730033
神戸西,84,負傷,0,1,一般市道,111,神戸市西区,20161227,9,昼間_昼,火,曇,乾燥,単路(その他),施設なし,直線(平坦),車両相互,55～64歳以下,55～64歳以下,乗用車(普通車),乗用車(軽自動車),中央線(ペイント),34.67021667,135.0033978
神戸西,413,負傷,0,1,一般市道,111,神戸市西区,20161227,22,夜間_夜,火,曇,乾燥,交差点(その他),点灯(３灯式),カーブ・屈折(左・平坦),車両相互,0～24歳以下,35～44歳以下,軽車両(自転車),乗用車(普通車),中央分離なし,34.66571194,135.0343619
高速隊,24,負傷,0,1,阪神高速神戸西宮,110,神戸市中央区,20161228,9,昼間_昼,水,晴,乾燥,単路(その他),施設なし,直線(平坦),車両相互,25～34歳以下,35～44歳以下,乗用車(普通車),乗用車(普通車),中央分離帯,34.69175861,135.20244
灘,41,負傷,0,1,一般市道,102,神戸市灘区,20161228,20,夜間_夜,水,晴,乾燥,単路(その他),施設なし,直線(平坦),車両相互,55～64歳以下,25～34歳以下,乗用車(普通車),乗用車(普通車),中央線(ペイント),34.70772583,135.2426289
須磨,2,負傷,0,1,神戸三木線,107,神戸市須磨区,20161228,15,昼間_昼,水,晴,乾燥,交差点付近(その他),点灯(３灯式),直線(平坦),車両相互,0～24歳以下,45～54歳以下,乗用車(普通車),乗用車(普通車),中央線(ペイント),34.67534944,135.1168014
神戸西,12,負傷,0,2,一般市道,111,神戸市西区,20161228,17,夜間_暮,水,晴,乾燥,単路(その他),施設なし,直線(平坦),車両相互,45～54歳以下,0～24歳以下,乗用車(普通車),乗用車(軽自動車),中央分離帯,34.71912833,135.0206886
高速隊,18,負傷,0,1,阪神高速北神戸,109,神戸市北区,20161229,15,昼間_昼,木,晴,乾燥,単路(その他),施設なし,直線(平坦),車両相互,0～24歳以下,0～24歳以下,貨物車(中型車),乗用車(普通車),中央分離帯,34.76165028,135.1845681
灘,16,負傷,0,4,２号,102,神戸市灘区,20161229,19,夜間_夜,木,晴,乾燥,交差点付近(その他),点灯(３灯式),直線(平坦),車両相互,0～24歳以下,25～34歳以下,乗用車(普通車),乗用車(普通車),中央分離帯,34.70250722,135.2177164
葺合,3,負傷,0,1,２号,110,神戸市中央区,20161229,21,夜間_夜,木,晴,乾燥,交差点(その他),点灯(３灯式),直線(平坦),車両相互,65～74歳以下,55～64歳以下,乗用車(普通車),乗用車(普通車),中央分離なし,34.69662944,135.2024844
神戸西,2,負傷,0,1,一般市道,111,神戸市西区,20161229,10,昼間_昼,木,晴,乾燥,交差点付近(その他),施設なし,直線(平坦),車両相互,35～44歳以下,25～34歳以下,乗用車(普通車),二輪車(原付自転車),中央分離なし,34.76276556,135.0327656
神戸西,13,負傷,0,1,一般交通の場所,111,神戸市西区,20161229,19,夜間_夜,木,曇,乾燥,一般交通の場所,施設なし,一般交通の場所,車両相互,45～54歳以下,25～34歳以下,乗用車(普通車),乗用車(普通車),一般交通の場所,34.66680361,134.9926681
神戸西,16,負傷,0,1,一般市道,111,神戸市西区,20161229,12,昼間_昼,木,曇,乾燥,単路(その他),施設なし,直線(平坦),車両相互,25～34歳以下,65～74歳以下,乗用車(軽自動車),乗用車(普通車),中央線(ペイント),34.74307278,135.0133489
有馬,12,負傷,0,2,神戸三田線,109,神戸市北区,20161229,11,昼間_昼,木,曇,乾燥,単路(その他),施設なし,直線(上り),車両相互,65～74歳以下,35～44歳以下,乗用車(普通車),乗用車(普通車),中央線(ペイント),34.80857417,135.2150231
高速隊,83,負傷,0,3,阪神高速神戸西宮,101,神戸市東灘区,20161230,12,昼間_昼,金,晴,乾燥,単路(その他),施設なし,直線(平坦),車両相互,25～34歳以下,35～44歳以下,乗用車(普通車),乗用車(普通車),中央分離帯,34.72190944,135.2941467
東灘,13,負傷,0,1,山手幹線（神戸市）,101,神戸市東灘区,20161230,15,昼間_昼,金,曇,乾燥,単路(その他),施設なし,直線(平坦),車両相互,35～44歳以下,25～34歳以下,乗用車(普通車),乗用車(普通車),中央線(ペイント),34.72735444,135.2763919
垂水,7,負傷,0,2,一般交通の場所,108,神戸市垂水区,20161230,11,昼間_昼,金,晴,乾燥,一般交通の場所,施設なし,一般交通の場所,車両相互,0～24歳以下,25～34歳以下,貨物車(普通車),乗用車(軽自動車),一般交通の場所,34.67167306,135.0563247
灘,2,負傷,0,1,灘三田線,102,神戸市灘区,20161231,12,昼間_昼,土,晴,乾燥,交差点付近(その他),施設なし,カーブ・屈折(右・下り),車両相互,45～54歳以下,55～64歳以下,乗用車(普通車),乗用車(中型車),中央線(ペイント),34.73657583,135.2374919
兵庫,1,負傷,0,1,一般交通の場所,105,神戸市兵庫区,20161231,22,夜間_夜,土,晴,乾燥,一般交通の場所,施設なし,一般交通の場所,人対車両,45～54歳以下,25～34歳以下,乗用車(普通車),歩行者,一般交通の場所,34.66676444,135.1871636
垂水,14,負傷,0,2,一般市道,108,神戸市垂水区,20161231,19,夜間_夜,土,晴,乾燥,単路(その他),施設なし,直線(上り),車両相互,55～64歳以下,35～44歳以下,乗用車(普通車),乗用車(普通車),中央分離帯,34.66355972,135.0729611
兵庫,2,負傷,0,1,一般市道,105,神戸市兵庫区,20170101,16,昼間_暮,日,晴,乾燥,交差点(その他),施設なし,直線(平坦),車両相互,55～64歳以下,0～24歳以下,乗用車(普通車),軽車両(自転車),中央分離なし,34.67639,135.1665206
垂水,6,負傷,0,2,一般市道,108,神戸市垂水区,20170101,0,夜間_夜,日,晴,乾燥,単路(その他),施設なし,直線(平坦),車両相互,35～44歳以下,0～24歳以下,乗用車(普通車),乗用車(普通車),中央線(ペイント),34.62714917,135.0505981
垂水,10,負傷,0,1,一般市道,108,神戸市垂水区,20170101,10,昼間_昼,日,晴,乾燥,交差点付近(その他),点灯(３灯式),直線(平坦),車両相互,55～64歳以下,25～34歳以下,乗用車(軽自動車),乗用車(普通車),中央線(ペイント),34.64207778,135.0661878
神戸北,12,負傷,0,1,長田箕谷線,109,神戸市北区,20170101,17,夜間_暮,日,晴,乾燥,交差点(その他),点灯(３灯式),直線(平坦),車両相互,35～44歳以下,0～24歳以下,乗用車(普通車),乗用車(軽自動車),中央分離なし,34.75571528,135.1467242
東灘,1,負傷,0,1,４３号,101,神戸市東灘区,20170102,9,昼間_昼,月,晴,乾燥,交差点付近(その他),点灯(歩車分離式),直線(平坦),車両相互,45～54歳以下,25～34歳以下,貨物車(中型車),乗用車(普通車),中央分離帯,34.72137528,135.2928636
東灘,2,負傷,0,1,一般市道,101,神戸市東灘区,20170102,16,昼間_暮,月,晴,乾燥,交差点(その他),施設なし,直線(平坦),車両相互,25～34歳以下,25～34歳以下,乗用車(軽自動車),乗用車(普通車),中央分離なし,34.71795389,135.2494361
灘,56,負傷,0,2,灘三田線,102,神戸市灘区,20170102,18,夜間_夜,月,晴,乾燥,単路(その他),施設なし,直線(下り),車両相互,0～24歳以下,65～74歳以下,乗用車(普通車),乗用車(普通車),中央線(ペイント),34.74160889,135.2298719
兵庫,3,負傷,0,1,山麓線,105,神戸市兵庫区,20170102,14,昼間_昼,月,晴,乾燥,交差点付近(その他),施設なし,直線(平坦),車両相互,55～64歳以下,45～54歳以下,乗用車(普通車),乗用車(普通車),中央線(ペイント),34.69010667,135.1656164
長田,1,負傷,0,1,一般市道,106,神戸市長田区,20170102,11,昼間_昼,月,晴,乾燥,交差点(その他),施設なし,直線(上り),車両相互,45～54歳以下,25～34歳以下,乗用車(普通車),軽車両(自転車),中央分離なし,34.65899833,135.1555161
須磨,15,負傷,0,2,高松線,107,神戸市須磨区,20170102,15,昼間_昼,月,晴,乾燥,交差点(その他),施設なし,直線(平坦),車両相互,35～44歳以下,55～64歳以下,乗用車(普通車),乗用車(普通車),中央線(ペイント),34.64504694,135.13192
垂水,1,負傷,0,2,２号,108,神戸市垂水区,20170102,11,昼間_昼,月,晴,乾燥,単路(その他),施設なし,直線(平坦),車両相互,25～34歳以下,55～64歳以下,乗用車(普通車),乗用車(軽自動車),中央線(ペイント),34.64130361,135.0231258
垂水,2,負傷,0,1,神戸加古川姫路線,108,神戸市垂水区,20170102,14,昼間_昼,月,晴,乾燥,交差点(その他),施設なし,直線(平坦),人対車両,0～24歳以下,75歳以上,乗用車(普通車),歩行者,中央分離なし,34.66863722,135.0743667
垂水,3,負傷,0,1,一般市道,108,神戸市垂水区,20170102,14,昼間_昼,月,晴,乾燥,交差点(その他),点灯(３灯式),直線(平坦),車両相互,65～74歳以下,35～44歳以下,乗用車(普通車),乗用車(軽自動車),中央分離なし,34.63275667,135.0424506
神戸西,3,負傷,0,2,一般市道,111,神戸市西区,20170102,13,昼間_昼,月,晴,乾燥,交差点(その他),点灯(３灯式),直線(上り),人対車両,55～64歳以下,35～44歳以下,乗用車(普通車),歩行者,中央分離なし,34.67880389,134.9983033
神戸西,4,負傷,0,1,神戸明石線,111,神戸市西区,20170102,18,夜間_夜,月,晴,乾燥,交差点付近(その他),施設なし,直線(平坦),車両相互,0～24歳以下,0～24歳以下,乗用車(普通車),二輪車(軽二輪),中央線(ペイント),34.6641675,135.0104158
神戸西,6,負傷,0,3,一般市道,111,神戸市西区,20170102,22,夜間_夜,月,晴,乾燥,交差点(その他),点灯(３灯式),直線(平坦),車両相互,65～74歳以下,35～44歳以下,乗用車(普通車),乗用車(普通車),中央分離なし,34.71504028,135.0070139
有馬,1,負傷,0,4,一般市道,109,神戸市北区,20170102,19,夜間_夜,月,晴,乾燥,単路(その他),施設なし,直線(上り),車両相互,25～34歳以下,0～24歳以下,乗用車(普通車),乗用車(軽自動車),中央線(ペイント),34.86022917,135.1929483
有馬,4,負傷,0,1,一般交通の場所,109,神戸市北区,20170102,16,昼間_暮,月,曇,乾燥,一般交通の場所,施設なし,一般交通の場所,車両単独,35～44歳以下,不明・単独事故,乗用車(普通車),物件等,一般交通の場所,34.82246556,135.2219006
有馬,10,負傷,0,1,市野瀬有馬線,109,神戸市北区,20170102,15,昼間_昼,月,曇,乾燥,交差点付近(その他),点灯(３灯式),直線(下り),車両相互,35～44歳以下,55～64歳以下,乗用車(普通車),乗用車(普通車),中央線(ペイント),34.80749278,135.2142639
高速隊,56,負傷,0,1,山陽自動車道,109,神戸市北区,20170103,20,夜間_夜,火,晴,乾燥,単路(その他),施設なし,直線(平坦),車両相互,0～24歳以下,0～24歳以下,乗用車(軽自動車),乗用車(普通車),中央分離帯,34.84523667,135.2058181
東灘,3,負傷,0,1,一般交通の場所,101,神戸市東灘区,20170103,11,昼間_昼,火,晴,乾燥,一般交通の場所,施設なし,一般交通の場所,人対車両,45～54歳以下,35～44歳以下,乗用車(普通車),歩行者,一般交通の場所,34.71485889,135.2876511
東灘,4,負傷,0,1,一般市道,101,神戸市東灘区,20170103,12,昼間_昼,火,晴,乾燥,交差点(その他),施設なし,直線(平坦),車両相互,35～44歳以下,45～54歳以下,乗用車(普通車),軽車両(自転車),中央分離なし,34.7286425,135.2738594
東灘,10,負傷,0,1,４３号,101,神戸市東灘区,20170103,16,昼間_暮,火,晴,乾燥,交差点付近(その他),点灯(３灯式),直線(平坦),車両相互,65～74歳以下,45～54歳以下,乗用車(普通車),乗用車(普通車),中央分離なし,34.71608583,135.2826664
灘,1,負傷,0,1,２号,102,神戸市灘区,20170103,22,夜間_夜,火,晴,乾燥,単路(その他),施設なし,直線(平坦),車両相互,55～64歳以下,0～24歳以下,貨物車(大型車),二輪車(軽二輪),中央分離帯,34.70461917,135.2249725
灘,6,負傷,0,1,灘浜住吉川線,102,神戸市灘区,20170103,18,夜間_夜,火,晴,乾燥,交差点付近(その他),点灯(３灯式),直線(平坦),車両相互,55～64歳以下,35～44歳以下,乗用車(普通車),乗用車(普通車),中央線(ペイント),34.70734944,135.2430658
葺合,1,負傷,0,1,新神戸停車場線,110,神戸市中央区,20170103,12,昼間_昼,火,晴,乾燥,交差点付近(その他),点灯(３灯式),直線(平坦),車両相互,65～74歳以下,0～24歳以下,貨物車(軽自動車),二輪車(軽二輪),中央分離帯,34.70017667,135.1942167
葺合,2,負傷,0,4,一般市道,110,神戸市中央区,20170103,20,夜間_夜,火,晴,乾燥,単路(その他),施設なし,直線(平坦),車両相互,35～44歳以下,45～54歳以下,乗用車(普通車),乗用車(普通車),中央分離なし,34.69516778,135.2049797
垂水,4,負傷,0,1,舞子多聞線,108,神戸市垂水区,20170103,9,昼間_昼,火,晴,乾燥,交差点付近(その他),点灯(３灯式),直線(平坦),車両相互,不明・単独事故,65～74歳以下,対象外当事者,乗用車(普通車),中央線(ペイント),34.65629889,135.04187
垂水,5,負傷,0,1,２号,108,神戸市垂水区,20170103,23,夜間_夜,火,晴,乾燥,交差点付近(その他),施設なし,直線(平坦),車両相互,25～34歳以下,35～44歳以下,二輪車(原付二種),乗用車(軽自動車),中央線(ペイント),34.63423028,135.0319569
